word,imagePath,wavPath
look,,
how,,
feel,,
thing,,
play,,
ask,,
way,,
tree,,
night,,
other,,
fly,,
two,,
people,,
need,,
next,,
never,,
hear,,
something,,
before,,
sit,,
fun,,
stop,,
three,,
every,,
boy,,
book,,
miss,,
grow,,
only,,
bed,,
fall,,
snow,,
hand,,
begin,,
mother,,
each,,
while,,
soon,,
than,,
together,,
show,,
green,,
lot,,
many,,
inside,,
ever,,
water,,
should,,
small,,
world,,
please,,
hard,,
read,,
stand,,
bird,,
jump,,
hold,,
watch,,
story,,
must,,
bring,,
shout,,
catch,,
bunny,,
blue,,
mama,,
kind,,
dream,,
hat,,
those,,
foot,,
ready,,
tooth,,
stick,,
once,,
life,,
valentine,,
favorite,,
wear,,
close,,
someone,,
sometimes,,
hair,,
own,,
beautiful,,
remember,,
learn,,
idea,,
hide,,
black,,
star,,
talk,,
grandma,,
animal,,
care,,
monster,,
game,,
meet,,
brown,,
word,,
also,,
sweet,,
food,,
along,,
different,,
move,,
full,,
moon,,
fish,,
reach,,
hey,,
rock,,
jack,,
share,,
nose,,
roll,,
ride,,
without,,
same,,
across,,
listen,,
car,,
tail,,
deep,,
teacher,,
voice,,
rain,,
duck,,
gold,,
write,,
race,,
behind,,
believe,,
hot,,
strong,,
land,,
bit,,
turkey,,
tall,,
window,,
smell,,
cover,,
yell,,
perfect,,
town,,
super,,
dinosaur,,
squirrel,,
decide,,
wind,,
pet,,
brother,,
ground,,
hang,,
seed,,
blow,,
instead,,
ball,,
cool,,
carry,,
arm,,
mind,,
clean,,
plan,,
front,,
save,,
round,,
spring,,
parent,,
reply,,
woman,,
shoe,,
pass,,
shake,,
garden,,
class,,
loud,,
drop,,
monkey,,
cloud,,
grandpa,,
llama,,
table,,
lunch,,
dinner,,
grab,,
number,,
quiet,,
fox,,
candy,,
pink,,
sea,,
farmer,,
earth,,
else,,
team,,
giant,,
card,,
wall,,
charlie,,
surprise,,
song,,
lie,,
young,,
crayon,,
count,,
arrive,,
chase,,
wolf,,
guess,,
forest,,
fairy,,
early,,
groundhog,,
chair,,
bus,,
wrong,,
bag,,
join,,
matter,,
shine,,
choose,,
magic,,
busy,,
week,,
poor,,
line,,
point,,
mouth,,
sign,,
send,,
wide,,
toe,,
knock,,
city,,
wow,,
silly,,
stuff,,
basket,,
everybody,,
hill,,
mountain,,
afraid,,
myself,,
moment,,
fire,,
explain,,
cow,,
power,,
halloween,,
piece,,
angry,,
pop,,
funny,,
mine,,
breath,,
uncle,,
space,,
amelia,,
late,,
snowman,,
fact,,
dress,,
honey,,
chocolate,,
near,,
scary,,
tomorrow,,
finger,,
grass,,
gather,,
promise,,
parade,,
carrot,,
ocean,,
fear,,
eight,,
alex,,
cream,,
onto,,
puppy,,
soft,,
peter,,
seven,,
letter,,
hurry,,
goodbye,,
touch,,
taste,,
butterfly,,
return,,
straight,,
bell,,
already,,
slide,,
trap,,
excited,,
tea,,
milk,,
body,,
spider,,
spend,,
hit,,
sheep,,
rainbow,,
bubble,,
appear,,
creature,,
dig,,
patrick,,
farm,,
trouble,,
horse,,
wash,,
shadow,,
hi,,
herself,,
drink,,
above,,
hurt,,
buzz,,
seat,,
cut,,
reindeer,,
adventure,,
till,,
roar,,
sight,,
celebrate,,
bump,,
smart,,
clothe,,
boat,,
lift,,
person,,
question,,
middle,,
note,,
bean,,
able,,
continue,,
sick,,
delicious,,
president,,
wet,,
clear,,
amazing,,
dry,,
crowd,,
hen,,
travel,,
chance,,
chick,,
bone,,
disappear,,
cook,,
ship,,
button,,
below,,
grin,,
grandfather,,
list,,
lovely,,
thanksgiving,,
purple,,
boom,,
beach,,
banana,,
brain,,
toward,,
rat,,
pack,,
doctor,,
cross,,
breathe,,
excellent,,
god,,
glue,,
welcome,,
splat,,
ladybug,,
glass,,
eve,,
wrap,,
wild,,
treasure,,
act,,
slow,,
mad,,
troll,,
empty,,
path,,
escape,,
fruit,,
sniff,,
pond,,
bake,,
luna,,
joe,,
ghost,,
against,,
human,,
shell,,
crack,,
storm,,
often,,
nine,,
fancy,,
corn,,
skin,,
hooray,,
castle,,
ahead,,
captain,,
bath,,
david,,
pablo,,
knee,,
penguin,,
holiday,,
cozy,,
angel,,
shark,,
evening,,
donald,,
ago,,
blanket,,
country,,
bounce,,
create,,
merry,,
third,,
snake,,
goodness,,
princess,,
stretch,,
costume,,
chew,,
liam,,
group,,
fair,,
cheese,,
calm,,
aunt,,
creep,,
smurf,,
boot,,
art,,
rather,,
forever,,
granny,,
thump,,
grandmother,,
square,,
growl,,
student,,
straw,,
